# Compound_CID,SMILES
9578204,CC(=O)N/C=C/[S@@](=O)C1=C(N2[C@H](C1)[C@@H](C2=O)C(C)(C)O)C(=O)O
9578310,CC(=O)N/C=C/[S@@](=O)C1=C(N2[C@H](C1)[C@@H](C2=O)C(C)(C)OS(=O)(=O)O)C(=O)O
5280980,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O
130313,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C
5464257,CC1=NN(N=N1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)O
441133,C1C=C(N2[C@H]1CC2=O)C(=O)O
18469536,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O.[Na+]
6602341,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)C4=CNC5=C(C4=O)N=CC=C5)C(=O)O)C
441328,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O
5378293,[C-]#[N+]/C(=C\C1=CC=C(C=C1)O)/C(=C/C2=CC=C(C=C2)O)/[N+]#[C-]
133928,CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCNC(=O)CCNC(=O)C(C(C)(C)CO)O)O
128473,CC[C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO)O
23665637,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-].[K+]
23685177,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)[O-])C.[Na+]
11583399,CC1([C@@H](N2[C@H](S1)[C@@](C2=O)(NC(=O)C(C3=CSC=C3)C(=O)[O-])OC)C(=O)[O-])C.[Na+].[Na+]
198349,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CSC[C@H](C(=O)O)N)C(=O)O)C
23670298,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-].[Na+]
198211,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN=C(CC4=CC=CC=C4)N)SC2)C(=O)O
9577843,CC(=O)NCC[S@@](=O)C1=C(N2[C@H](C1)[C@@H](C2=O)C(C)(C)OS(=O)(=O)O)C(=O)O
160139,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)SC1)C(=O)O
163788,C1C(=C(N2[C@@H](S1)[C@H](C2=O)NC(=O)C(C3=CSC(=N3)N)NC(=O)C4=CC(=O)C(=CN4O)O)C(=O)[O-])CSC5=CC=[N+](C=C5)CCO
133916,CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCNC(=O)CCNC(=O)C(C(C)(C)CO)O)OS(=O)(=O)O
134991,CC(C)(CO)C(C(=O)NCCC(=O)NCCS[C@H]1C[C@@H]2[C@@H](C(=O)N2[C@H]1C(=O)O)C(C)(C)O)O
